Ensembl Gene ID,UniProt/TrEMBL Accession,UniProt/SwissProt Accession,UniProt/SwissProt ID
ENSG00000198727,Q50HP6,,
ENSG00000198727,Q5MBF0,,
ENSG00000198727,Q6R701,,
ENSG00000198727,Q9TES2,,
ENSG00000162980,,Q9Y689,ARL5A_HUMAN
ENSG00000162980,F8WER2,,
ENSG00000175182,C9JY59,Q6UXB0,F131A_HUMAN
ENSG00000175182,C9JP51,Q6UXB0,F131A_HUMAN
ENSG00000175182,C9JPT9,,
ENSG00000175182,C9JY59,,
ENSG00000175182,C9JP51,,
ENSG00000175182,G5E9B1,,
ENSG00000175182,,Q6UXB0,F131A_HUMAN
ENSG00000182389,Q9NZA2,O00305,CACB4_HUMAN
ENSG00000182389,Q580I4,O00305,CACB4_HUMAN
ENSG00000182389,Q53S65,O00305,CACB4_HUMAN
ENSG00000182389,Q580I4,,
ENSG00000182389,Q53S65,,
ENSG00000182389,H0Y476,,
ENSG00000182389,E7EN11,,
ENSG00000182389,C9J224,,
ENSG00000182389,F8WA06,,
ENSG00000114859,,P51788,CLCN2_HUMAN
ENSG00000114859,,,
ENSG00000114859,E9PBD9,,
ENSG00000114859,E9PCD2,,
ENSG00000115145,,O75886,STAM2_HUMAN
ENSG00000157827,B3KT32,Q96PY5,FMNL2_HUMAN
ENSG00000157827,C9IZY8,,
ENSG00000163882,C9JLU1,P52434,RPAB3_HUMAN
ENSG00000163882,C9JBJ6,P52434,RPAB3_HUMAN
ENSG00000163882,,,
ENSG00000163882,C9JBJ6,,
ENSG00000163882,C9JLU1,,
ENSG00000163882,C9JUA8,,
ENSG00000163882,C9J413,,
ENSG00000163882,C9JCU7,,
ENSG00000196504,Q4ZG51,O75400,PR40A_HUMAN
ENSG00000196504,,,
ENSG00000196504,F5H578,,
ENSG00000196504,H0YG38,,
ENSG00000196504,H7C2N3,,
ENSG00000090534,,P40225,TPO_HUMAN
ENSG00000090534,F8W6L1,,
ENSG00000090534,O94784,,
ENSG00000090539,,Q9H2X0,CHRD_HUMAN
ENSG00000090539,Q8N2W7,Q9H2X0,CHRD_HUMAN
ENSG00000090539,E7ESX1,,
ENSG00000090539,B7Z6F4,,
ENSG00000177917,,Q8N6S5,AR6P6_HUMAN
ENSG00000177917,H7C192,,
ENSG00000177917,,,
ENSG00000159377,,P28070,PSB4_HUMAN
ENSG00000177519,,Q9NS64,RPRM_HUMAN
ENSG00000144278,Q68VI8,Q8IUC8,GLT13_HUMAN
ENSG00000144278,,,
ENSG00000144278,Q08ER7,,
ENSG00000144278,H7BZU4,,
ENSG00000144278,H7C0T6,,
ENSG00000143442,F5H8H4,Q7Z3K3,POGZ_HUMAN
ENSG00000143442,A6PW30,Q7Z3K3,POGZ_HUMAN
ENSG00000143442,E9PJY9,Q7Z3K3,POGZ_HUMAN
ENSG00000143442,E9PIR8,Q7Z3K3,POGZ_HUMAN
ENSG00000143442,F5H8H4,,
ENSG00000143442,E9PJY9,,
ENSG00000143442,E9PIR8,,
ENSG00000143442,B7ZBY5,,
ENSG00000143442,E9PM80,,
ENSG00000143442,A6PW30,,
ENSG00000143442,H0YCT3,,
ENSG00000143442,,,
ENSG00000143375,A2A3M4,,
ENSG00000143375,A6PVU7,,
ENSG00000143375,A6PVU7,Q9P2M7,CING_HUMAN
ENSG00000143375,A2A3M4,Q9P2M7,CING_HUMAN
ENSG00000143375,B7ZBT6,,
ENSG00000143367,,Q9NNX1,TUFT1_HUMAN
ENSG00000143367,A6PVU8,,
ENSG00000143367,F5H607,,
ENSG00000143376,H7C603,,
ENSG00000143376,,Q96L92,SNX27_HUMAN
ENSG00000159409,Q8IZ97,,
ENSG00000159409,Q5SZQ7,,
ENSG00000159409,Q8IZ97,Q5SZQ8,CELF3_HUMAN
ENSG00000159409,Q5SZQ6,,
ENSG00000159409,B4DQL3,,
ENSG00000178796,C9JPK7,,
ENSG00000178796,,A6NNX1,RIAD1_HUMAN
ENSG00000240510,Q8N9Z1,,
ENSG00000143436,,Q9BYD2,RM09_HUMAN
ENSG00000143436,Q5SZR1,,
ENSG00000143450,A2A457,Q9UMX2,OAZ3_HUMAN
ENSG00000143450,Q5SZR6,Q9UMX2,OAZ3_HUMAN
ENSG00000143450,Q5SZR6,,
ENSG00000143450,Q5SZR7,,
ENSG00000143450,,,
ENSG00000143450,Q6GMR0,,
ENSG00000182134,B7ZAG4,,
ENSG00000182134,E9PKN8,Q9Y2W6,TDRKH_HUMAN
ENSG00000182134,Q9NYV3,Q9Y2W6,TDRKH_HUMAN
ENSG00000182134,B4DJ68,Q9Y2W6,TDRKH_HUMAN
ENSG00000182134,Q5SZR5,Q9Y2W6,TDRKH_HUMAN
ENSG00000182134,Q9NYV3,,
ENSG00000182134,Q5SZR4,,
ENSG00000182134,B4DJ68,,
ENSG00000182134,E9PKN8,,
ENSG00000182134,E9PQX4,,
ENSG00000162989,Q53R59,P48549,IRK3_HUMAN
ENSG00000162989,B4DEW7,,
ENSG00000153234,C9JWQ1,P43354,NR4A2_HUMAN
ENSG00000153234,C9IYM5,P43354,NR4A2_HUMAN
ENSG00000153234,Q6NXU0,P43354,NR4A2_HUMAN
ENSG00000153234,F1D8N6,P43354,NR4A2_HUMAN
ENSG00000153234,C9JWQ1,,
ENSG00000153234,Q6NXU0,,
ENSG00000153234,E9PBQ4,,
ENSG00000153234,C0KWD2,,
ENSG00000153234,F8W6I3,,
ENSG00000153234,C9J8W4,,
ENSG00000153234,C9IYM5,,
ENSG00000153234,,,
ENSG00000153234,F5H4G9,,
ENSG00000153234,F1D8N6,,
ENSG00000213171,,Q6UY18,LIGO4_HUMAN
ENSG00000143365,F1D8P6,P51449,RORG_HUMAN
ENSG00000143365,D3DV25,P51449,RORG_HUMAN
ENSG00000143365,Q6I9R9,P51449,RORG_HUMAN
ENSG00000143365,B6ZGS6,P51449,RORG_HUMAN
ENSG00000143365,H7BYJ4,,
ENSG00000224153,C9JSC8,,
ENSG00000225556,,B7Z1M9,C2D4D_HUMAN
ENSG00000182580,D3DNT9,P54753,EPHB3_HUMAN
ENSG00000196407,,Q8N1Q8,THEM5_HUMAN
ENSG00000196407,B1APK3,,
ENSG00000159445,,Q5T1C6,THEM4_HUMAN
ENSG00000159445,F6XC58,,
ENSG00000159445,E9PLJ7,,
ENSG00000115159,E7EM56,,
ENSG00000115159,Q53RD0,,
ENSG00000197747,D3DV26,P60903,S10AA_HUMAN
ENSG00000115159,F8W6E4,P43304,GPDM_HUMAN
ENSG00000115159,F5GYK7,P43304,GPDM_HUMAN
ENSG00000115159,E7EM56,P43304,GPDM_HUMAN
ENSG00000115159,Q53T76,P43304,GPDM_HUMAN
ENSG00000115159,Q53RD0,P43304,GPDM_HUMAN
ENSG00000115159,E9PDK4,,
ENSG00000163191,,P31949,S10AB_HUMAN
ENSG00000115159,F5GYK7,,
ENSG00000115159,F8W6E4,,
ENSG00000177383,,Q9HAY2,MAGF1_HUMAN
ENSG00000182898,,Q5QJ38,TCHL1_HUMAN
ENSG00000159450,Q5D861,Q07283,TRHY_HUMAN
ENSG00000159450,A2RRS3,Q07283,TRHY_HUMAN
ENSG00000215853,Q8N1M7,Q6XPR3,RPTN_HUMAN
ENSG00000215853,Q2M1U7,Q6XPR3,RPTN_HUMAN
ENSG00000197915,Q5W8V9,Q86YZ3,HORN_HUMAN
ENSG00000143631,Q4JFL9,P20930,FILA_HUMAN
ENSG00000143631,I0B0K3,P20930,FILA_HUMAN
ENSG00000143631,I0B0K5,P20930,FILA_HUMAN
ENSG00000143631,I0B0K6,P20930,FILA_HUMAN
ENSG00000143631,I0B0K8,P20930,FILA_HUMAN
ENSG00000143520,,Q5D862,FILA2_HUMAN
ENSG00000156931,C9JPI1,Q8N3P4,VPS8_HUMAN
ENSG00000156931,C9JKL0,Q8N3P4,VPS8_HUMAN
ENSG00000156931,C9JIA0,Q8N3P4,VPS8_HUMAN
ENSG00000156931,C9JG07,Q8N3P4,VPS8_HUMAN
ENSG00000156931,C9JPI1,,
ENSG00000156931,C9JKL0,,
ENSG00000156931,C9JIA0,,
ENSG00000156931,C9JG07,,
ENSG00000156931,C9JP71,,
ENSG00000143536,,Q9UBG3,CRNN_HUMAN
ENSG00000156931,F8WB24,,
ENSG00000156931,H7C3U0,,
ENSG00000186207,,Q5TCM9,LCE5A_HUMAN
ENSG00000156931,,,
ENSG00000169509,,Q9UGL9,CRCT1_HUMAN
ENSG00000156931,H7C1G7,,
ENSG00000185966,,Q5T5B0,LCE3E_HUMAN
ENSG00000163202,,Q9BYE3,LCE3D_HUMAN
ENSG00000156931,C9JJN9,,
ENSG00000244057,,Q5T5A8,LCE3C_HUMAN
ENSG00000187238,,Q5TA77,LCE3B_HUMAN
ENSG00000185962,,Q5TA76,LCE3A_HUMAN
ENSG00000187223,,Q5TA82,LCE2D_HUMAN
ENSG00000159455,,O14633,LCE2B_HUMAN
ENSG00000187180,,Q5TA81,LCE2C_HUMAN
ENSG00000187173,,Q5TA79,LCE2A_HUMAN
ENSG00000187170,,Q5TA78,LCE4A_HUMAN
ENSG00000198854,,Q5T750,XP32_HUMAN
ENSG00000203786,,Q5T749,KPRP_HUMAN
ENSG00000240386,,Q5T754,LCE1F_HUMAN
ENSG00000186226,,Q5T753,LCE1E_HUMAN
ENSG00000172155,,Q5T752,LCE1D_HUMAN
ENSG00000197084,,Q5T751,LCE1C_HUMAN
ENSG00000196734,C9JCA3,Q5T7P3,LCE1B_HUMAN
ENSG00000186844,,Q5T7P2,LCE1A_HUMAN
ENSG00000235942,,A0A183,LCE6A_HUMAN
ENSG00000136542,Q68VJ5,Q7Z7M9,GALT5_HUMAN
ENSG00000136542,A5PKZ1,Q7Z7M9,GALT5_HUMAN
ENSG00000163206,Q5T7P5,P49901,MCSP_HUMAN
ENSG00000163207,,P07476,INVO_HUMAN
ENSG00000184148,,Q96PI1,SPRR4_HUMAN
ENSG00000169474,,P35321,SPR1A_HUMAN
ENSG00000163209,B1AN48,,
ENSG00000163209,B1AN48,Q9UBC9,SPRR3_HUMAN
ENSG00000136541,C9JN04,Q8TAM6,ERMIN_HUMAN
ENSG00000136541,C9J6B4,Q8TAM6,ERMIN_HUMAN
ENSG00000136541,B4DKB4,Q8TAM6,ERMIN_HUMAN
ENSG00000163209,F5GZ12,,
ENSG00000136541,F8WAQ2,,
ENSG00000136541,B4DKB4,,
ENSG00000136541,B4DIZ1,,
ENSG00000169469,,P22528,SPR1B_HUMAN
ENSG00000136541,C9JN04,,
ENSG00000136541,C9J6B4,,
ENSG00000169469,E7ETD7,,
ENSG00000136541,B8ZZ94,,
ENSG00000136541,C9J8X3,,
ENSG00000163216,,P22532,SPR2D_HUMAN
ENSG00000241794,,P35326,SPR2A_HUMAN
ENSG00000196805,,P35325,SPR2B_HUMAN
ENSG00000203785,,P22531,SPR2E_HUMAN
ENSG00000244094,,Q96RM1,SPR2F_HUMAN
ENSG00000159516,,Q9BYE4,SPR2G_HUMAN
ENSG00000115165,C9JSM2,O60759,CYTIP_HUMAN
ENSG00000115165,C9JRF8,O60759,CYTIP_HUMAN
ENSG00000115165,C9JNN8,O60759,CYTIP_HUMAN
ENSG00000115165,B4DWH9,O60759,CYTIP_HUMAN
ENSG00000115165,C9JSM2,,
ENSG00000115165,F8WF61,,
ENSG00000203784,,Q5T871,LELP1_HUMAN
ENSG00000115165,C9JRF8,,
ENSG00000115165,C9JNN8,,
ENSG00000203783,,Q5T870,PRR9_HUMAN
ENSG00000115165,B4DWH9,,
ENSG00000203782,Q6FHY3,P23490,LORI_HUMAN
ENSG00000159527,,Q96LB9,PGRP3_HUMAN
ENSG00000163218,,Q96LB8,PGRP4_HUMAN
ENSG00000163220,,P06702,S10A9_HUMAN
ENSG00000163221,,P80511,S10AC_HUMAN
ENSG00000123612,Q53SF5,Q8NER5,ACV1C_HUMAN
ENSG00000123612,,Q8NER5,ACV1C_HUMAN
ENSG00000143546,,P05109,S10A8_HUMAN
ENSG00000184330,,Q86SG5,S1A7A_HUMAN
ENSG00000197364,,Q5SY68,S1A7B_HUMAN
ENSG00000143556,,P31151,S10A7_HUMAN
ENSG00000197956,,P06703,S10A6_HUMAN
ENSG00000187068,,A6NLC5,CC070_HUMAN
ENSG00000196420,,P33763,S10A5_HUMAN
ENSG00000196420,Q52LE7,P33763,S10A5_HUMAN
ENSG00000115170,F5GY91,Q04771,ACVR1_HUMAN
ENSG00000115170,D3DPA4,Q04771,ACVR1_HUMAN
ENSG00000115170,C9JW28,Q04771,ACVR1_HUMAN
ENSG00000115170,C9JHJ7,Q04771,ACVR1_HUMAN
ENSG00000115170,C9J1R3,Q04771,ACVR1_HUMAN
ENSG00000115170,Q53SV1,Q04771,ACVR1_HUMAN
ENSG00000115170,Q53SF4,Q04771,ACVR1_HUMAN
ENSG00000196154,F5H3J5,P26447,S10A4_HUMAN
ENSG00000115170,F5GY91,,
ENSG00000115170,C9JW28,,
ENSG00000115170,C9JHJ7,,
ENSG00000115170,C9J1R3,,
ENSG00000113790,,Q08426,ECHP_HUMAN
ENSG00000113790,C9JJE0,,
ENSG00000188015,,P33764,S10A3_HUMAN
ENSG00000196754,,P29034,S10A2_HUMAN
ENSG00000196754,Q5RHS7,,
ENSG00000007001,,O95045,UPP2_HUMAN
ENSG00000073803,C9IYH2,,
ENSG00000073803,,O43283,M3K13_HUMAN
ENSG00000073803,C9JP65,,
ENSG00000073803,C9JP65,O43283,M3K13_HUMAN
ENSG00000073803,C9J4W2,O43283,M3K13_HUMAN
ENSG00000073803,C9J4W2,,
ENSG00000073803,F8WF41,,
ENSG00000073803,H7C459,,
ENSG00000153237,,Q8NFR7,CC148_HUMAN
ENSG00000153237,F8WBK8,,
ENSG00000153237,B8ZZV3,,
ENSG00000153237,F8WCV9,,
ENSG00000153237,,,
ENSG00000153237,F8WCW7,,
ENSG00000153237,F5H839,,
ENSG00000163510,B7WP74,Q9HCG8,CWC22_HUMAN
ENSG00000163510,B7WP74,,
ENSG00000163510,B7WP27,,
ENSG00000170035,C9IZU6,Q969T4,UB2E3_HUMAN
ENSG00000170035,C9IYU3,Q969T4,UB2E3_HUMAN
ENSG00000115232,Q7Z4L6,,
ENSG00000144283,E7EST6,,
ENSG00000144283,Q53TM5,,
ENSG00000144283,Q53TM5,Q99569,PKP4_HUMAN
ENSG00000115232,E7EP60,P13612,ITA4_HUMAN
ENSG00000115232,Q8IUA2,P13612,ITA4_HUMAN
ENSG00000144283,E7EP40,,
ENSG00000115232,E7EP60,,
ENSG00000115232,Q6PJE7,,
ENSG00000144283,E9PHJ1,,
ENSG00000144283,E7EMY7,,
ENSG00000144283,,,
ENSG00000163900,F8WDE2,,
ENSG00000163900,,Q96HV5,TM41A_HUMAN
ENSG00000163900,H7BXL1,,
ENSG00000163898,A2IBA8,Q8WWY8,LIPH_HUMAN
ENSG00000188452,Q5DVJ3,Q49MI3,CERKL_HUMAN
ENSG00000188452,G0XYE8,Q49MI3,CERKL_HUMAN
ENSG00000188452,G0XYE7,Q49MI3,CERKL_HUMAN
ENSG00000188452,G0XYD8,Q49MI3,CERKL_HUMAN
ENSG00000163898,A2IBA6,,
ENSG00000163898,,,
ENSG00000163898,F8WE09,,
ENSG00000188452,,Q49MI3,CERKL_HUMAN
ENSG00000163331,,A0PJW8,DAPL1_HUMAN
ENSG00000163331,B8ZZC6,,
ENSG00000163331,,,
ENSG00000163904,C9IYB7,,
ENSG00000163904,B4E2S4,Q9HC62,SENP2_HUMAN
ENSG00000163904,F8WET6,,
ENSG00000163904,F8WED7,,
ENSG00000163904,F8WCX8,,
ENSG00000163904,F8WED6,,
ENSG00000163904,H7C1A0,,
ENSG00000163904,B4DQ42,,
ENSG00000163904,,Q9HC62,SENP2_HUMAN
ENSG00000162992,,Q13562,NDF1_HUMAN
ENSG00000115183,,Q9C0D5,TANC1_HUMAN
ENSG00000138434,B3KXT1,P28290,SSFA2_HUMAN
ENSG00000138434,,P28290,SSFA2_HUMAN
ENSG00000138434,E9PHV5,,
ENSG00000138434,E7END2,,
ENSG00000138434,B4DP45,,
ENSG00000138434,F2Z295,,
ENSG00000138434,E7EUL7,,
ENSG00000138434,B3KXT1,,
ENSG00000138434,,,
ENSG00000138434,H7BZ26,,
ENSG00000196151,,Q8N9V3,WSDU1_HUMAN
ENSG00000196151,B8ZZF2,,
ENSG00000150722,Q53TF4,Q8WVI7,PPR1C_HUMAN
ENSG00000150722,Q53SA3,Q8WVI7,PPR1C_HUMAN
ENSG00000073792,,Q9Y6M1,IF2B2_HUMAN
ENSG00000073792,F8W930,,
ENSG00000115252,Q9Y633,P54750,PDE1A_HUMAN
ENSG00000115252,Q9Y246,P54750,PDE1A_HUMAN
ENSG00000115252,Q9UNL9,P54750,PDE1A_HUMAN
ENSG00000115252,Q53TB0,P54750,PDE1A_HUMAN
ENSG00000115252,Q53T15,P54750,PDE1A_HUMAN
ENSG00000115252,B7Z3A7,P54750,PDE1A_HUMAN
ENSG00000115252,Q9Y634,P54750,PDE1A_HUMAN
ENSG00000115252,Q9H3Q8,P54750,PDE1A_HUMAN
ENSG00000115252,Q9Y633,,
ENSG00000115252,B7Z3A7,,
ENSG00000115252,Q9H3Q9,P54750,PDE1A_HUMAN
ENSG00000123636,Q8NC87,Q9UIF8,BAZ2B_HUMAN
ENSG00000123636,Q53TG3,Q9UIF8,BAZ2B_HUMAN
ENSG00000123636,C9JCA6,Q9UIF8,BAZ2B_HUMAN
ENSG00000123636,H7C1I6,,
ENSG00000123636,,,
ENSG00000123636,F6VJC3,,
ENSG00000123636,C9JCA6,,
ENSG00000077232,Q8N4C5,Q8IXB1,DJC10_HUMAN
ENSG00000077232,E7EP04,,
ENSG00000077232,H7C1G0,,
ENSG00000077232,Q3B7W8,,
ENSG00000162998,D9ZGF6,Q92765,SFRP3_HUMAN
ENSG00000162998,Q53QT6,Q92765,SFRP3_HUMAN
ENSG00000162998,Q53QN4,Q92765,SFRP3_HUMAN
ENSG00000061676,,Q9Y2A7,NCKP1_HUMAN
ENSG00000162999,,Q8WTR2,DUS19_HUMAN
ENSG00000163002,C9JWU7,,
ENSG00000163002,C9JIY9,,
ENSG00000163002,C9IYQ7,,
ENSG00000163002,B4DYB4,,
ENSG00000163002,B4DP57,,
ENSG00000163002,C9JWU7,Q8NFH5,NUP53_HUMAN
ENSG00000163002,C9JIY9,Q8NFH5,NUP53_HUMAN
ENSG00000163002,C9IYQ7,Q8NFH5,NUP53_HUMAN
ENSG00000163002,B4DYB4,Q8NFH5,NUP53_HUMAN
ENSG00000163002,B4DP57,Q8NFH5,NUP53_HUMAN
ENSG00000163002,F8WEL4,,
ENSG00000163002,F8WCF5,,
ENSG00000170396,,Q7Z570,Z804A_HUMAN
ENSG00000188738,,Q5CZC0,FSIP2_HUMAN
ENSG00000188738,Q8NAU3,,
ENSG00000188738,H0Y515,,
ENSG00000188738,,,
ENSG00000065548,,Q8WU90,ZC3HF_HUMAN
ENSG00000065548,F8WB26,,
ENSG00000065548,F8WF67,,
ENSG00000065548,H7C466,,
